url,Type
https://docs.google.com/presentation/d/e/2PACX-1vTVj7OXwAUKJDv57jBmVg8eWFIUvTQ3c0-F1gPD_G5CwsQzOf3aelTqo4q42FIlqbHODnIlx2-Lx3Cf/pub?start=false&loop=false&delayms=3000&slide=id.p,Phishing
https://btttelecommunniccatiion.weeblysite.com/,Phishing
https://kq0hgp.webwave.dev/,Phishing
https://brittishtele1bt-69836.getresponsesite.com/,Phishing
https://bt-internet-105056.weeblysite.com/,Phishing
https://teleej.weebly.com/,Phishing
https://maryleyshon.wixsite.com/my-site-1,Phishing
https://chamakhman.wixsite.com/my-site-4,Phishing
https://posts-ch.buzz/ch/,Phishing
https://tinyurl.com/bdfpfyur,Phishing
https://www.msaaezusshubsnsk.top,Phishing
https://www.msaaezusshubsnk.top,Phishing
https://www.msaaezuhubsnk.top,Phishing
https://docs.google.com/presentation/d/e/2PACX-1vSQhRfmHabALkn-AOLiTaZqD56SkYdFCKmKaqIrGG3EFFH6gZWKhJat2O1j5aFmxrSVAbYiXsWqB1_v/pub?start=false&loop=false&delayms=3000&slide=id.p,Phishing
https://docs.google.com/presentation/d/e/2PACX-1vSG51ZslCaXw4PrBW46kFU0Tlq4lYzrRyN40Lh_pEQ0ASpzDWxYjihI6-rcgu9U29weJY-0s_79Bk4T/pub?start=false&loop=false&delayms=3000&slide=id.p,Phishing
https://docs.google.com/presentation/d/e/2PACX-1vQdsu4PGmnYNi1qRHMH7GdUapyKZdxRSBr3lYwoHRGHj2wiu1nSWS5eGxC2N6jYJyQZpTrI1palx_2O/pub?start=false&loop=false&delayms=3000&slide=id.p,Phishing
https://us10.list-manage.com/survey?u=f5e2489ff9b1eb9c05b8e12b3&id=8b1b0686bc&e=,Phishing
https://loginaccountverifice392.square.site/,Phishing
https://tqwip3lbk5.onrocket.site/ch/index2.php,Phishing
https://pub-19aa984b0fb848bea6ffcc9634982332.r2.dev/email.upgrade.html#test@example.com,Phishing
https://10olixo.weeblysite.com/,Phishing
https://d-106596.weeblysite.com/,Phishing
https://managing55.wixsite.com/my-site,Phishing
https://www.aeombamk.co.nlgvsfig.com/,Phishing
https://postms.top/kUquEi/,Phishing
https://uteta.org/wp-includes/js/,Phishing
https://mysunrise-app-mip-appsuite.codeanyapp.com/wp-content/sunrise/index.html,Phishing
https://7q-4xu.cfd/ai/?oferta/zegarek-firmy-alkor-adriatica?navCategoryId=&amp;t=1711954905542,Phishing
https://ormpu.cn,Phishing
https://docs.google.com/presentation/d/e/2PACX-1vTVj7OXwAUKJDv57jBmVg8eWFIUvTQ3c0-F1gPD_G5CwsQzOf3aelTqo4q42FIlqbHODnIlx2-Lx3Cf/pub?start=false&loop=false&delayms=3000,Phishing
https://tinyurl.com/y6ed8sx8,Phishing
https://docs.google.com/presentation/d/e/2PACX-1vS60bmjSsSkqTqreCKIVQCxFGpZiDuIKqSdIWSVWB0Mf7c0y-b_Yqyj5AMD1FxrRDOYwEpVGc3RJ8fl/pub?start=false&loop=false&delayms=3000,Phishing
https://www.zrkhopdi.com,Phishing
https://docs.google.com/presentation/d/e/2PACX-1vRq9XcQhWixRbox-KPUbFd28GDEy9_VdF1xCZZIKJFoK2aRwtt9UneD690Ls0toNNYVF3YvIymt3YXW/pub?start=false&loop=false&delayms=3000,Phishing
